#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	5.09412	398.65900	0.00000	0.00000
11.91840	5.09412	435.22200	0.00000	0.00000
11.91840	5.09412	475.13900	0.00000	0.00000
11.91840	5.09412	518.71700	0.00000	0.00000
11.91840	5.09412	566.29100	0.00000	0.00000
11.91840	5.09412	618.22900	0.00000	0.00000
11.91840	5.09412	674.93000	0.00000	0.00000
11.91840	5.09412	736.83200	0.00000	0.00000
11.91840	5.09412	804.41100	0.00000	0.00000
11.91840	5.09412	878.18800	0.00000	0.00000
11.91840	5.09412	958.73200	0.00000	0.00000
11.91840	5.09412	1046.66000	0.00000	0.00000
11.91840	5.09412	1142.66000	0.00000	0.00000
11.91840	5.09412	1247.46000	0.00000	0.00000
11.91840	5.09412	1361.87000	0.00000	0.00000
11.91840	5.09412	1486.77000	0.00000	0.00000
11.91840	5.09412	1623.13000	0.00000	0.00000
11.91840	5.09412	1772.00000	0.00000	0.00000
11.91840	5.09412	1934.52000	0.00000	0.00000
11.91840	5.09412	2111.95000	0.00000	0.00000
11.91840	5.09412	2305.65000	0.00000	0.00000
11.91840	5.09412	2517.11000	0.00000	0.00000
11.91840	5.09412	2747.97000	0.00000	0.00000
11.91840	5.32665	11.91840	0.05670	0.00003
11.91840	5.32665	13.01150	0.00030	0.00006
11.91840	5.32665	14.20490	0.00023	0.00004
11.91840	5.32665	15.50770	0.00018	0.00003
11.91840	5.32665	16.93000	0.00014	0.00002
11.91840	5.32665	18.48280	0.00011	0.00001
11.91840	5.32665	20.17790	0.00008	0.00001
11.91840	5.32665	22.02860	0.00006	0.00000
11.91840	5.32665	24.04890	0.00004	0.00000
11.91840	5.32665	26.25460	0.00003	0.00000
11.91840	5.32665	28.66250	0.00002	0.00000
11.91840	5.32665	31.29130	0.00001	0.00000
11.91840	5.32665	34.16130	0.00001	0.00000
11.91840	5.32665	37.29440	0.00001	0.00000
11.91840	5.32665	40.71490	0.00000	0.00000
11.91840	5.32665	44.44910	0.00000	0.00000
11.91840	5.32665	48.52570	0.00000	0.00000
11.91840	5.32665	52.97630	0.00000	0.00000
11.91840	5.32665	57.83510	0.00000	0.00000
11.91840	5.32665	63.13940	0.00000	0.00000
11.91840	5.32665	68.93030	0.00000	0.00000
11.91840	5.32665	75.25230	0.00000	0.00000
11.91840	5.32665	82.15410	0.00000	0.00000
11.91840	5.32665	89.68890	0.00000	0.00000
11.91840	5.32665	97.91480	0.00000	0.00000
11.91840	5.32665	106.89500	0.00000	0.00000
11.91840	5.32665	116.69900	0.00000	0.00000
11.91840	5.32665	127.40200	0.00000	0.00000
11.91840	5.32665	139.08700	0.00000	0.00000
11.91840	5.32665	151.84400	0.00000	0.00000
11.91840	5.32665	165.77000	0.00000	0.00000
11.91840	5.32665	180.97400	0.00000	0.00000
11.91840	5.32665	197.57200	0.00000	0.00000
11.91840	5.32665	215.69200	0.00000	0.00000
11.91840	5.32665	235.47500	0.00000	0.00000
11.91840	5.32665	257.07100	0.00000	0.00000
11.91840	5.32665	280.64900	0.00000	0.00000
11.91840	5.32665	306.38900	0.00000	0.00000
11.91840	5.32665	334.48900	0.00000	0.00000
11.91840	5.32665	365.16700	0.00000	0.00000
11.91840	5.32665	398.65900	0.00000	0.00000
11.91840	5.32665	435.22200	0.00000	0.00000
11.91840	5.32665	475.13900	0.00000	0.00000
11.91840	5.32665	518.71700	0.00000	0.00000
11.91840	5.32665	566.29100	0.00000	0.00000
11.91840	5.32665	618.22900	0.00000	0.00000
11.91840	5.32665	674.93000	0.00000	0.00000
11.91840	5.32665	736.83200	0.00000	0.00000
11.91840	5.32665	804.41100	0.00000	0.00000
11.91840	5.32665	878.18800	0.00000	0.00000
11.91840	5.32665	958.73200	0.00000	0.00000
11.91840	5.32665	1046.66000	0.00000	0.00000
11.91840	5.32665	1142.66000	0.00000	0.00000
11.91840	5.32665	1247.46000	0.00000	0.00000
11.91840	5.32665	1361.87000	0.00000	0.00000
11.91840	5.32665	1486.77000	0.00000	0.00000
11.91840	5.32665	1623.13000	0.00000	0.00000
11.91840	5.32665	1772.00000	0.00000	0.00000
11.91840	5.32665	1934.52000	0.00000	0.00000
11.91840	5.32665	2111.95000	0.00000	0.00000
11.91840	5.32665	2305.65000	0.00000	0.00000
11.91840	5.32665	2517.11000	0.00000	0.00000
11.91840	5.32665	2747.97000	0.00000	0.00000
