#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	4.39655	57.83510	0.00008	0.00028
11.91840	4.39655	63.13940	0.00006	0.00033
11.91840	4.39655	68.93030	0.00005	0.00039
11.91840	4.39655	75.25230	0.00005	0.00048
11.91840	4.39655	82.15410	0.00004	0.00056
11.91840	4.39655	89.68890	0.00003	0.00066
11.91840	4.39655	97.91480	0.00003	0.00075
11.91840	4.39655	106.89500	0.00002	0.00086
11.91840	4.39655	116.69900	0.00002	0.00094
11.91840	4.39655	127.40200	0.00001	0.00100
11.91840	4.39655	139.08700	0.00001	0.00100
11.91840	4.39655	151.84400	0.00001	0.00098
11.91840	4.39655	165.77000	0.00001	0.00089
11.91840	4.39655	180.97400	0.00001	0.00076
11.91840	4.39655	197.57200	0.00001	0.00059
11.91840	4.39655	215.69200	0.00001	0.00044
11.91840	4.39655	235.47500	0.00002	0.00029
11.91840	4.39655	257.07100	0.00002	0.00018
11.91840	4.39655	280.64900	0.00003	0.00010
11.91840	4.39655	306.38900	0.00003	0.00005
11.91840	4.39655	334.48900	0.00004	0.00002
11.91840	4.39655	365.16700	0.00004	0.00001
11.91840	4.39655	398.65900	0.00004	0.00000
11.91840	4.39655	435.22200	0.00004	0.00000
11.91840	4.39655	475.13900	0.00003	0.00000
11.91840	4.39655	518.71700	0.00002	0.00000
11.91840	4.39655	566.29100	0.00001	0.00000
11.91840	4.39655	618.22900	0.00000	0.00000
11.91840	4.39655	674.93000	0.00000	0.00000
11.91840	4.39655	736.83200	0.00000	0.00000
11.91840	4.39655	804.41100	0.00000	0.00000
11.91840	4.39655	878.18800	0.00000	0.00000
11.91840	4.39655	958.73200	0.00000	0.00000
11.91840	4.39655	1046.66000	0.00000	0.00000
11.91840	4.39655	1142.66000	0.00000	0.00000
11.91840	4.39655	1247.46000	0.00000	0.00000
11.91840	4.39655	1361.87000	0.00000	0.00000
11.91840	4.39655	1486.77000	0.00000	0.00000
11.91840	4.39655	1623.13000	0.00000	0.00000
11.91840	4.39655	1772.00000	0.00000	0.00000
11.91840	4.39655	1934.52000	0.00000	0.00000
11.91840	4.39655	2111.95000	0.00000	0.00000
11.91840	4.39655	2305.65000	0.00000	0.00000
11.91840	4.39655	2517.11000	0.00000	0.00000
11.91840	4.39655	2747.97000	0.00000	0.00000
11.91840	4.62907	11.91840	0.01408	0.00012
11.91840	4.62907	13.01150	0.00045	0.00022
11.91840	4.62907	14.20490	0.00043	0.00019
11.91840	4.62907	15.50770	0.00040	0.00016
11.91840	4.62907	16.93000	0.00037	0.00014
11.91840	4.62907	18.48280	0.00034	0.00012
11.91840	4.62907	20.17790	0.00032	0.00010
11.91840	4.62907	22.02860	0.00029	0.00009
11.91840	4.62907	24.04890	0.00026	0.00008
11.91840	4.62907	26.25460	0.00024	0.00007
11.91840	4.62907	28.66250	0.00021	0.00006
11.91840	4.62907	31.29130	0.00019	0.00006
11.91840	4.62907	34.16130	0.00017	0.00005
11.91840	4.62907	37.29440	0.00015	0.00005
11.91840	4.62907	40.71490	0.00013	0.00005
11.91840	4.62907	44.44910	0.00011	0.00005
11.91840	4.62907	48.52570	0.00010	0.00005
11.91840	4.62907	52.97630	0.00008	0.00006
